h3_index,hour,demand,lag_1,predicted_demand
883cf28905fffff,5,1,1.0,1.8333699196700737
883cf28905fffff,13,1,1.0,1.6011936831996763
883cf2890dfffff,17,1,1.0,1.5588887133550895
883cf28921fffff,5,1,1.0,1.8333699196700737
883cf28921fffff,7,1,1.0,1.5820163008936619
883cf28921fffff,13,2,1.0,1.6011936831996763
883cf28921fffff,14,1,2.0,2.5026994130701614
883cf28921fffff,17,1,1.0,1.5588887133550895
883cf28921fffff,18,1,1.0,1.7360804898026472
883cf28921fffff,21,1,1.0,1.786375408336386
883cf28921fffff,22,1,1.0,1.6392652193104187
883cf28921fffff,23,2,1.0,1.6904641836616734
883cf28923fffff,2,2,1.0,2.0542198499133915
883cf28923fffff,9,1,2.0,1.9829284584696945
883cf28923fffff,12,1,1.0,1.8874760274177234
883cf28923fffff,13,1,1.0,1.6011936831996763
883cf28923fffff,21,1,1.0,1.786375408336386
883cf28925fffff,4,1,1.0,1.8921783467513174
883cf28925fffff,5,1,1.0,1.8333699196700737
883cf28925fffff,6,1,1.0,1.8159445080693075
883cf28925fffff,7,1,1.0,1.5820163008936619
883cf28925fffff,10,1,1.0,1.620282373002724
883cf28925fffff,11,4,1.0,1.8432641783426655
883cf28925fffff,12,1,4.0,3.7900188239088886
883cf28925fffff,16,2,1.0,1.4481188156959135
883cf28925fffff,17,1,2.0,2.102539135797746
883cf28925fffff,18,1,1.0,1.7360804898026472
883cf28925fffff,19,1,1.0,1.7264651787415692
883cf28925fffff,20,1,1.0,1.6904704235561494
883cf28925fffff,21,1,1.0,1.786375408336386
883cf28927fffff,10,1,1.0,1.620282373002724
883cf28927fffff,12,1,1.0,1.8874760274177234
883cf28927fffff,17,1,1.0,1.5588887133550895
883cf28927fffff,18,1,1.0,1.7360804898026472
883cf28927fffff,19,1,1.0,1.7264651787415692
883cf28929fffff,10,1,1.0,1.620282373002724
883cf28929fffff,12,1,1.0,1.8874760274177234
883cf28929fffff,14,1,1.0,1.3230644458245828
